,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Gammaproteobacteria,103136,109572,76457,130870,204868,147390,72380,76863,74874,160964,257016,236075,157210,132277,119577,74115,75217,23196,22112,62231,59552,89429,97287,86759,91503,103751,108389,51670,68472,19395,31254,46342,80210,8540,55181,54245,52506,88318,32170,65634,45660,43908,150986,7200,5765,1536,16632,9353,4560,6688,5601,42,33,10429,4902,14910,3391,6691,3427,10538,5925,9526,8509,5709,609,17214,18282,15699,12213,10553,29657,8450,4955,9345,7436,11899,7894,621,5206,10748,3674,9095,7411,251750,243694,74787,95335,48141,54736,156073,187657,9765,57862,24473,34235,21343,62559,23732,21443,17569,15582,21367,21899,22112
Blastocatellia,7108,18176,12983,27464,43490,16527,9410,13708,12989,24121,45537,34239,120683,84522,93568,1850,1814,495,485,3746,3545,6995,6838,2891,2769,3691,3555,2068,16304,24756,40083,61730,230345,357,20938,8430,35305,5146,3597,6234,11420,12567,5570,1007,928,131,1238,900,514,899,543,8,6,935,949,2737,531,2078,512,1841,1079,2438,933,1179,41,1050,1140,1411,2128,2128,2126,1756,821,1297,1141,1750,1377,135,892,727,559,1263,1068,26953,25930,9244,4448,2346,7922,4924,1542,1408,9287,3782,2399,2144,4902,1225,1361,1067,1009,1241,1199,1249
Verrucomicrobiae,45332,30386,21885,45277,42813,25849,28397,24094,16311,58597,58685,36006,68638,57392,48317,33675,30388,10351,9529,32983,30588,50458,50043,26135,25217,30757,30022,18368,25110,3970,7772,9275,17175,0,14672,4633,16212,21442,13682,20590,16041,19152,22432,2632,1474,477,2875,2651,1538,2720,1208,13,2,1378,1938,4697,1224,2862,1310,4731,2741,4921,2509,1522,97,2302,3256,4646,2927,3799,4198,2525,1656,2150,3978,5680,2328,258,2578,2371,1404,2942,2497,116959,113082,12932,11098,5896,7707,6276,2862,1314,8533,3654,8117,5744,23401,5632,5652,4449,4013,4601,4393,4666
Flavobacteriia,14944,12673,9550,24938,28600,15213,14694,10544,9283,21421,26086,17895,43482,31248,26031,12497,11960,5121,5030,7466,7291,12450,12561,46289,45379,56148,55619,11929,18366,10519,13854,24264,56826,530302,38235,21146,37164,398384,7494,8428,20844,9092,7377,714,620,132,1078,719,314,976,384,3,0,358,447,1828,341,653,264,998,720,1379,608,713,54,1270,1555,2171,1370,1781,1588,1089,553,1126,796,1579,1065,83,662,780,609,1012,904,83224,82164,16494,20192,11301,8106,3656,0,959,6335,2872,2796,2556,7259,2267,2575,1274,1262,1875,2052,2135
Planctomycetia,103743,100683,68083,99096,189488,107379,72970,75380,62827,126398,142741,129252,144625,122729,102472,107143,95457,25285,23878,44158,41845,81026,78672,87618,84304,92374,88318,25238,27679,19942,33733,47234,27853,783,38366,11032,26421,17952,25159,41864,21168,22645,37400,6498,4571,1067,8696,5087,4534,5769,3667,23,33,2947,4482,8427,2274,4419,3624,10528,5765,10435,4711,3500,247,4585,5828,6569,4354,5238,7035,5170,2442,4515,5338,6992,4788,308,3497,3863,2133,5011,4925,236542,228383,46365,55655,28760,39070,20544,3445,3068,18731,7932,8486,7222,18491,6188,5363,2619,2210,4530,4699,4723
Deltaproteobacteria,63210,68307,50904,91977,121968,62863,47515,49925,48756,101408,150699,96613,155979,111663,109741,53224,47176,13722,13099,62974,58900,76185,73398,75471,72746,100219,95346,47963,25456,26815,44829,69057,33094,0,19769,12675,21768,13545,23013,29695,23251,45414,57541,9403,7904,2079,11145,7533,4562,9490,4632,29,39,4278,7180,18697,4029,9025,4153,14339,7504,13830,7004,7048,464,9901,10777,17315,12118,12960,15084,11989,6756,11029,7979,15065,9497,797,5365,6078,4663,9311,9376,317576,308997,83249,60637,31069,75069,38428,13847,7107,47200,18668,47775,55807,150263,34871,26507,28177,26217,61341,63121,62799
Nitrospira <class>,3937,8456,5969,5851,9343,7598,3493,5891,6731,10788,29133,21867,14584,15662,31587,2062,1939,646,636,3007,2925,4430,4454,1376,1284,1670,1665,2850,2079,3025,5431,7741,7959,387,5573,1284,4642,1238,1136,2253,3018,13105,11870,1497,813,160,1831,1416,542,873,641,1,8,722,971,3313,778,1761,833,2810,1243,2208,1341,1074,62,1487,1372,2408,1949,1546,2512,1789,874,1582,2138,2685,1622,140,1025,1244,820,1950,1418,57354,56599,2648,4788,2337,2313,1933,2698,354,2148,916,6906,7902,19206,4835,4612,2078,1807,4769,4974,5036
(Candidatus Entotheonella),8549,10651,6639,8974,13058,6846,6207,7926,6430,11970,23170,18471,23002,16907,20929,7524,6987,2179,1990,8132,7944,12744,12340,3560,3412,4498,4136,1738,1505,3243,6014,6829,1599,369,1184,856,1217,285,3338,4299,5978,13026,8154,1841,844,57,858,377,330,351,415,1,4,391,441,968,294,775,567,2880,1310,1723,1644,1038,21,798,773,437,484,988,1718,1158,255,693,1675,2399,392,31,677,904,732,960,1628,20801,20062,18628,11494,6123,20229,8456,1472,1261,7914,3352,3305,3057,6879,2431,1809,1227,1094,1781,1820,1832
Chitinophagia,18262,0,0,54329,52449,18263,19774,0,14729,0,38308,0,68314,48306,0,14222,13166,4155,4119,0,0,0,0,94683,95205,128154,126251,19799,38231,40330,52075,99665,153114,2002,121111,26638,119821,56991,13583,18734,62704,17084,8581,2194,2586,863,3939,2212,1336,3617,1613,30,2,1359,1846,6010,1195,2774,877,3515,2159,4005,1650,3041,200,4341,4679,7028,5282,5613,6764,4379,1816,4223,2141,3742,3941,324,2204,2618,1761,3118,2322,190164,187446,18815,6726,3867,6467,4524,0,1711,10509,4539,10759,7714,21984,5844,8453,1592,1442,0,0,0
Rubrobacteria,1318,2081,1402,2345,4021,2095,1205,1491,1353,1923,3025,2940,4245,4034,4695,0,0,117,0,354,328,659,576,0,0,0,0,312,819,64698,47533,89697,6250,69519,30282,35090,7344,593,189,266,1968,721,562,694,689,17,356,151,149,103,400,0,1,105,126,154,98,111,318,630,248,363,345,447,5,285,243,148,122,342,337,394,75,213,127,234,74,14,147,156,93,139,271,4541,4320,13800,22213,11327,8994,3503,2117,1662,10215,4317,1070,587,1442,339,412,337,280,450,518,515
Bacteroidia,8419,8133,5587,12219,15397,8434,6816,5889,5349,12363,14476,10248,19543,14384,12909,5043,4580,1695,1628,4450,4297,6752,6536,9350,9371,11487,11265,17752,5566,2555,3125,5668,11920,8358,8352,3878,5645,4527,1885,3062,4536,3130,3934,449,207,47,533,191,139,315,212,0,2,224,206,456,108,201,216,456,173,386,339,238,10,406,389,415,466,408,374,252,135,268,430,521,264,43,203,254,104,298,227,9913,9323,3234,2322,1286,2547,2593,2653,946,5590,2439,1344,1157,6623,1390,715,2198,2413,4867,5117,5242
Sphingobacteriia,22937,6714,3841,12486,19698,7615,11781,5217,5791,16142,13634,9270,15762,12560,7093,10186,9905,5877,5857,2267,2128,4133,4120,45055,45130,57804,57291,7742,24301,5762,6445,12420,25282,3151,15399,5811,36258,43453,3930,5809,8404,2644,4375,298,351,96,638,684,225,935,227,0,4,219,272,805,176,366,142,519,302,564,283,356,26,605,714,1003,657,1151,913,585,247,544,529,681,504,22,424,581,243,431,367,32053,32115,5738,1864,1067,1607,1163,0,635,3979,1858,1489,942,2961,701,1189,431,471,499,591,561
Opitutae,8516,6041,4058,8659,10188,6474,6582,4936,4845,8631,11030,8488,16610,13875,10832,6120,5417,1366,1358,5976,5878,8281,8049,7120,7051,10383,10112,4170,4737,1188,2168,2312,1616,0,2552,1390,3766,1689,1800,2312,3553,2602,2433,492,456,129,701,612,297,1050,283,2,0,237,546,1079,216,617,211,862,539,1018,407,516,37,793,1042,1719,927,1415,872,680,567,791,664,1091,581,58,590,479,378,672,532,18035,17484,8224,4183,2282,4603,3836,1284,619,4042,1665,3335,1514,6468,1475,1600,1017,808,1385,1221,1254
Cytophagia,4564,4939,2998,23868,27659,5154,12967,3539,3046,22806,24080,17030,35631,28335,6005,8720,8168,2389,2180,6952,5766,9827,9475,25269,25293,32778,32561,7251,18042,27175,37555,66636,80283,90365,40276,61201,60607,86664,5313,8378,18776,6244,7437,912,1024,292,2984,837,516,1376,849,12,2,441,547,3066,486,1084,528,1512,941,1922,970,1141,71,2048,2323,2813,1678,2378,1928,1397,743,1548,857,1521,1808,126,746,1118,649,1309,905,66053,73644,22589,16731,9815,11770,5992,1510,2130,13101,5760,2720,2081,6095,2263,3033,1051,279,1629,1749,1835
Clostridia,7225,10497,17687,11232,41366,28311,6978,7576,11677,10630,40975,27090,15066,14813,13463,2709,2545,1099,693,3284,2930,8526,4575,4125,4097,4773,4271,4563,2410,5567,5378,7105,7987,838,8995,4864,3057,1823,1260,1910,1656,3542,6389,389,187,69,296,474,316,147,123,2,1,336,132,623,214,499,159,808,453,860,446,327,15,190,522,274,186,189,245,204,211,178,566,721,131,34,269,118,126,214,547,20630,20383,1406,2052,1120,948,2351,18016,759,4759,2050,2536,3372,10070,1019,1683,4060,3450,6074,6605,6261
Nitrososphaeria,6514,11726,8532,5497,7298,8105,6917,8766,7160,0,16886,18240,18548,13384,10398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28625,38132,78822,3998,0,3322,916,3785,0,0,0,5730,13730,4251,1122,525,51,963,277,264,389,495,4,1,212,329,475,167,213,374,1170,565,964,919,383,20,718,537,303,342,424,944,711,155,467,220,336,287,16,316,504,239,597,658,19283,19191,12163,9781,5530,6501,3829,0,823,3729,1787,1127,646,1768,519,550,497,387,459,465,372
Acidimicrobiia,5442,6086,4286,9416,11850,5995,4546,3939,3969,7680,9060,8909,13259,9668,10597,0,0,0,0,0,0,0,0,3041,2888,3220,3191,1676,1599,3304,3919,5887,6598,3878,18421,12347,34643,12951,1184,1413,2963,1581,1698,1271,693,79,1879,673,585,816,623,3,3,413,415,1162,297,562,520,1554,979,1609,793,584,32,1005,989,755,698,632,1305,857,256,843,518,1460,687,30,499,675,294,717,1058,46542,43675,15775,6659,3462,14265,9250,18927,1166,7358,3218,3226,1441,4536,1536,1176,2020,1816,0,167,0
(Synechococcales),4920,5621,3947,5218,9249,5279,3708,4030,3429,7507,9516,7804,9014,7394,7278,6469,5858,1847,1677,7186,6922,11319,11178,2604,2410,3010,3188,3118,3422,5029,4388,5886,9019,2443,4852,4604,20030,20365,1772,3049,2738,3805,4714,450,306,29,504,285,197,269,203,0,0,164,279,473,116,271,184,715,341,495,350,312,10,263,349,412,342,337,312,757,179,282,433,617,260,29,250,271,148,330,339,14946,14642,3074,2947,1616,2660,1968,1338,220,1670,746,1708,1362,4075,883,970,792,748,1627,1864,1443
(Oscillatoriales),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721,1832,2296,2371,0,0,0,0,0,0,54222,77536,27164,10131,0,964,2751,9979,242933,0,0,0,697,0,396,76,0,0,0,162,0,0,0,4,0,155,190,0,0,0,0,67,281,63,66,8,0,0,1351,695,839,0,7043,415,724,0,0,179,12,348,0,155,1113,134,0,0,1890,671,815,632,0,0,0,0,180,0,365,941,614,606,0,0,950,1005,995
Anaerolineae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,0,1316,2591,0,3310,0,0,0,0,0,0,0,0,1517,0,360,353,0,376,249,130,314,159,0,0,133,388,1027,191,466,187,817,385,579,394,413,6,333,291,393,401,502,494,367,105,440,0,504,424,20,191,301,158,267,310,0,0,6095,5414,2731,4069,1849,1840,333,2268,952,5999,7617,26214,5123,4503,10499,9373,23113,24443,24653
Thermomicrobia,3381,6558,4790,8429,15473,9900,3952,5044,5872,5660,11257,13956,10406,12165,11761,0,0,0,0,1350,1294,2043,2027,0,0,0,0,930,1018,6927,5152,7869,3859,4627,6942,4867,3669,0,450,0,1231,1371,1694,314,305,40,660,312,231,291,236,0,0,220,208,426,150,268,264,606,254,443,305,213,11,352,332,278,267,262,492,401,141,274,194,340,204,16,248,244,113,240,280,9952,9584,6963,3884,2083,5149,3408,1146,447,2860,1253,2928,2245,5208,1304,1354,1268,1119,1931,1952,1904
(Nostocales),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6805,6489,8475,8262,0,2411,15310,18493,14295,16619,0,5440,3468,7186,14932,1306,3617,3735,4468,2215,473,239,75,479,264,180,292,0,0,0,132,486,1053,134,308,326,964,232,755,571,226,28,441,551,959,392,583,615,1070,183,585,239,706,449,35,184,221,222,503,536,21128,20114,4926,3734,1915,3595,2566,0,418,2713,1217,1668,1194,2784,1008,783,682,0,988,1631,589
(Kouleothrix),1447,1991,1282,2271,3314,1884,1395,1473,1322,2845,3690,3180,5062,4782,5826,494,484,0,0,1028,1024,1389,1417,0,0,0,0,409,366,3907,2322,3112,1674,234,1349,765,2098,409,388,511,1076,1091,767,221,511,69,647,312,277,578,170,0,4,259,465,720,172,451,203,559,389,573,310,328,9,342,343,469,517,346,680,540,161,488,175,325,326,24,177,281,187,293,194,6240,6153,1613,1272,704,1055,518,0,134,720,305,1495,2426,3361,1186,1064,709,656,1289,1335,1290
Deinococci,5119,6038,4595,7481,11426,7573,4126,4635,4657,6610,10405,10089,10056,10452,10274,856,860,232,243,1149,2469,3720,3657,854,790,1106,1050,1655,1811,3877,3371,5245,4211,5148,5108,9880,5125,1409,984,1654,1694,2053,2746,283,211,33,456,233,198,270,180,0,0,148,204,422,109,244,178,542,278,405,245,197,9,247,331,341,258,309,394,310,134,243,284,414,200,20,209,209,119,274,232,8260,7914,2481,2029,1086,2231,4645,1522,691,4077,1787,1550,1359,3689,768,770,786,606,1412,1496,1524
Gloeobacteria,4083,3710,2273,3955,5947,3175,2840,3007,2384,6036,6655,5052,7312,6687,5707,1434,1324,436,352,2200,2133,3102,2958,1150,1122,1335,1334,776,858,639,679,1074,2333,0,1002,502,1085,0,369,764,632,999,1745,69,43,13,0,54,57,0,0,0,0,55,59,92,20,63,35,114,65,79,57,57,2,67,53,113,94,102,100,70,37,48,119,137,36,4,66,55,31,53,51,3699,3588,477,451,251,454,0,0,60,353,155,446,427,919,178,192,206,147,306,369,339
Methanomicrobia,2548,2988,1987,3560,5391,3242,2295,2091,2002,4157,5522,3259,5271,4407,4050,1040,916,324,311,1234,1168,1832,1846,0,0,0,0,844,0,821,1053,1562,1209,785,998,946,1088,0,499,0,693,784,1022,104,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,112,0,2,0,0,0,0,0,0,0,0,93,0,206,44,5,0,0,0,0,93,5806,5463,936,1007,476,854,654,0,144,897,385,707,1631,2452,482,419,1198,1017,1181,1114,1205
Chloroflexia,1747,4160,2891,5144,7900,4630,1637,2889,2986,3034,6528,7151,8813,8579,10112,0,0,0,0,809,639,1062,980,0,0,0,0,987,1109,5769,4261,5454,3843,0,3294,1447,4289,2559,664,1132,1434,1788,1557,321,456,32,554,260,279,527,200,1,3,231,365,750,143,421,206,622,394,625,343,376,16,366,335,543,460,439,628,597,171,502,235,447,353,24,219,274,127,271,259,9133,9038,3204,2994,1563,2459,1241,0,116,1420,565,2369,3587,7022,1821,1595,1281,1114,3992,4241,4015
Fimbriimonadia,1706,1982,1313,2848,5004,2330,1572,1214,1246,2524,4002,2734,3604,3220,1911,760,839,287,287,587,517,972,907,1728,1627,2251,2149,927,1414,1027,911,1931,1563,0,1586,495,1254,2523,306,502,451,336,1302,83,78,26,158,137,125,197,67,0,0,87,142,147,35,137,57,145,91,165,56,79,5,101,147,298,276,176,173,151,88,141,157,150,95,15,99,76,63,143,77,3594,3446,645,545,311,368,334,302,63,534,175,411,419,1079,225,249,117,112,178,177,200
Spirochaetia,2263,1900,1367,2567,3260,1911,1735,1396,1241,3285,3527,2772,4321,2856,2885,1185,866,381,306,1010,1002,1426,1439,1261,1194,1507,1487,716,802,473,670,912,1299,0,937,557,847,603,477,759,548,1077,899,82,36,10,142,57,43,76,31,1,0,35,33,245,36,65,80,149,71,122,128,44,1,136,88,221,109,116,137,85,67,86,110,113,72,8,106,61,60,142,147,3563,3509,1077,1253,658,1163,11025,12191,1159,7324,3186,897,843,2432,518,501,1216,1165,2963,3114,3154
(Thermoanaerobaculum),1095,2012,1035,2317,1903,1591,1058,1101,1505,1534,3793,2980,3591,3618,3368,0,0,0,0,345,310,525,586,0,0,0,0,619,0,0,362,490,392,0,423,0,0,0,0,233,233,396,398,59,40,9,0,50,46,49,0,0,0,39,50,115,23,58,28,96,63,83,53,41,0,45,58,91,84,85,0,67,25,67,80,117,59,3,43,33,22,65,40,4367,4174,705,1330,563,1317,289,219,35,344,122,871,770,2456,417,393,751,648,2479,2459,2393
