,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Iron acquisition and metabolism,21762,18831,13052,23321,35640,18601,15842,14826,10369,38609,35009,22177,34855,22986,19001,12919,11212,4191,4093,10154,9578,15366,14824,19450,19005,23726,22527,3967,5031,3346,4522,8732,6459,10576,5746,3301,6798,9224,2460,4971,4086,2315,5831,478,436,110,1016,462,407,563,371,2,3,282,347,833,229,374,236,741,405,682,428,408,33,652,699,816,640,594,1085,588,294,605,583,705,461,35,378,478,188,424,400,42894,41430,8252,6128,3124,5546,6538,7214,771,4967,2103,3157,2466,6706,1816,1898,1726,1527,1945,1975,2059
Miscellaneous,51563,44133,29743,51001,72733,38927,39359,34637,24741,79513,74900,53456,88652,65203,63923,34186,30845,9918,9435,26502,24952,41961,40733,27526,26782,33502,31923,12933,13898,10616,11789,19534,13499,9744,15241,9884,17305,15668,9580,14853,11830,11155,20094,1839,1422,320,3912,1653,1622,1881,1366,9,6,1245,1407,2536,818,1372,1279,2943,1638,2611,1794,1129,102,1944,2174,2368,1881,1949,3387,1980,866,1660,2730,2884,1326,110,1491,1664,776,1674,1514,126192,122014,15008,12188,6216,13378,13124,12297,1617,10199,4212,9751,6995,18806,4584,4706,4600,4111,5576,5641,5792
Predictions based on plant-prokaryote comparative analysis,12018,10526,7253,13743,19367,10168,9388,8109,6525,18186,18057,13574,20966,15903,14858,5594,5140,1710,1630,4726,4502,7108,6808,6820,6541,8256,7926,4493,5385,4100,4421,8139,5337,4473,6376,3900,7747,5000,3187,5146,4052,3612,6133,668,526,135,1448,627,602,733,542,1,6,460,525,1008,293,539,428,1038,601,951,567,465,31,820,850,958,753,758,1263,754,338,637,870,1056,505,48,577,653,259,645,584,25276,24411,3981,3170,1695,3504,4388,4616,497,2911,1255,2692,1871,5493,1291,1294,1344,1236,1602,1583,1614
RNA Metabolism,44529,38021,26314,49695,68240,36433,35302,29434,23855,66597,64753,50568,80313,59072,55128,19415,17777,5932,5765,16531,15784,24971,24387,23879,22999,29323,28296,17806,18528,17535,18987,34464,22491,23271,30212,19082,34556,23579,10415,17325,14748,12512,23788,2543,2014,453,5408,2405,2245,2727,2022,16,12,1739,1857,3827,1075,1888,1568,4041,2151,3653,2225,1733,149,2879,3212,3514,2726,2877,4812,2772,1366,2460,2981,3725,1962,150,2091,2412,1010,2288,2216,93105,90071,16868,13697,6998,15155,18179,20690,2342,14358,6305,10873,8016,22122,5105,5434,6126,5515,7681,7573,7694
Phosphorus Metabolism,18634,16468,11836,22576,31461,16884,14570,12648,10390,29451,29347,22318,36919,27721,27117,9145,8019,2699,2605,7219,6870,10952,10546,11933,11573,14680,14083,5112,5754,5365,6175,10258,6157,6410,7771,4925,9572,7103,3775,6049,4730,4353,7407,883,725,154,1831,777,721,918,685,3,6,564,603,1344,373,685,568,1424,819,1290,802,616,54,1006,1022,1133,959,960,1550,960,504,852,960,1275,673,66,665,773,335,784,718,46072,44234,8572,6682,3428,7447,7018,5631,857,5318,2242,4940,3444,9898,2421,2436,2382,2210,3531,3486,3642
Cell Wall and Capsule,90656,75677,52371,98932,136435,72377,66869,59207,45753,130811,130784,97082,152705,115622,107062,40218,36342,12131,11623,35189,33409,53098,51649,47694,46041,57943,55758,24661,26282,20835,22257,41263,28146,26704,30146,19007,34858,27819,16015,26934,20391,16754,30165,3143,2618,714,7172,3065,3069,3708,2680,21,17,2183,2489,4895,1386,2559,2137,5311,2955,4725,2972,2275,226,3650,3926,4588,3767,3686,6196,3671,1906,3292,4387,5025,2571,219,2679,3076,1313,2976,2772,180324,173857,30340,24197,12548,27464,31554,30750,3538,21841,9213,20304,14635,41159,9604,9963,10790,9741,13197,13267,13364
DNA Metabolism,94889,82796,57606,110184,149924,81029,76505,64428,52179,140401,139723,109526,176041,129495,121212,37848,34765,11733,11137,31844,30324,48854,47481,47948,46901,59633,57834,38870,38312,35083,36540,67667,54305,58959,67748,48265,78166,51982,20837,33732,29587,23675,43642,5189,4189,981,11669,5036,4767,5706,4208,31,30,3479,3846,7562,2205,4023,3414,7992,4556,7332,4639,3620,300,6102,6573,7279,5865,5914,9825,5834,2841,5320,5986,7205,4179,359,4284,4660,2126,4858,4626,195108,189350,37562,29565,15544,33980,38506,41744,4817,29458,13024,24080,16874,49843,11270,11807,13404,11999,16284,16606,16939
Central metabolism,2455,2367,1722,3209,4493,2633,1951,1802,1697,3755,4257,3551,4705,3818,3568,805,756,230,242,732,724,1165,1132,1113,1057,1320,1323,1262,1266,1132,1215,2039,1813,1597,1993,1521,2218,1339,584,1113,949,792,1651,180,142,45,333,161,143,183,146,0,0,98,134,245,74,143,121,275,155,250,142,97,10,181,229,217,199,199,330,199,102,146,202,255,123,18,149,177,70,169,156,4384,4303,927,718,389,870,911,924,121,658,287,659,456,1294,274,308,379,349,426,432,421
Sulfur Metabolism,8904,8049,5512,10230,15351,8205,7152,6530,5024,14111,13966,10497,14661,11219,10441,4442,4056,1250,1258,3634,3465,5689,5611,5154,5033,6469,6191,3117,3653,1385,1651,3110,1207,839,1466,759,1586,1236,2438,3615,2466,2295,3615,359,313,65,814,347,340,459,305,4,0,265,310,544,170,298,267,607,323,548,323,237,21,409,447,540,459,408,710,427,239,403,606,605,282,27,308,321,155,390,351,21725,20981,1901,1483,758,1593,1934,1950,219,1304,534,1486,1048,2896,688,688,788,698,1035,1052,1094
Regulation and Cell signaling,11885,10467,7315,13908,19796,10434,9290,8082,6480,18808,18393,13818,21262,15655,14485,5945,5349,1857,1804,4594,4329,7102,6909,7331,7153,9037,8698,3452,3875,3470,3703,6835,3679,3981,4959,3903,5959,4105,2274,3636,2954,2323,4399,453,461,101,1066,425,454,525,367,2,1,297,390,730,216,362,292,769,432,680,453,349,34,521,586,704,567,542,918,558,255,460,602,662,374,32,394,453,175,447,409,26694,25970,4943,3832,1974,4234,4453,4792,497,3193,1342,3086,2226,6128,1529,1480,1747,1464,2159,2196,2304
Metabolite damage and its repair or mitigation,2809,2674,1841,3622,4750,2552,2405,1932,1780,4451,4175,3451,5737,4200,4033,948,831,280,266,876,830,1277,1262,1121,1067,1357,1280,745,554,938,725,1444,713,1225,1447,1133,2121,965,344,692,587,445,915,108,109,28,357,137,152,148,111,0,0,86,101,152,61,87,85,187,110,192,112,75,4,175,152,153,136,110,231,159,58,125,123,153,85,6,86,102,52,101,115,6086,5672,1441,891,468,1377,1279,1168,157,965,444,918,565,1534,341,345,549,481,484,482,442
Stress Response,22617,16598,11481,21912,30084,16064,15879,13257,9734,32957,28536,20837,35234,23834,21114,12250,10868,3642,3787,10438,10115,15884,15177,13090,12621,15952,15254,5828,7495,5756,6130,11140,4464,5169,7089,4755,8193,5105,5499,9430,5855,4995,9663,1025,894,219,2226,905,965,1115,733,6,8,715,758,1464,442,757,694,1690,854,1497,915,718,66,1181,1285,1398,1088,1143,1985,1148,569,990,1491,1524,772,65,793,917,417,936,876,48359,47029,7893,6469,3378,7025,8072,7083,793,5021,2062,4661,3078,8791,2148,2157,2583,2256,2673,2699,2726
Secondary Metabolism,4136,2471,1649,3259,3894,1972,3051,1965,1070,6637,4013,2333,7079,3678,2858,4088,3830,1178,1166,2798,2681,4429,4374,4062,3971,5056,4913,1640,1480,880,1352,2057,1493,1089,1609,731,1412,1359,2450,3232,2884,4243,3919,565,344,70,895,399,344,391,320,4,6,245,299,710,198,354,356,965,509,737,571,328,22,495,537,507,397,421,758,496,201,369,661,1021,416,39,387,447,254,444,497,19272,18868,2710,2018,1073,2245,1880,942,178,1324,524,893,560,1469,467,470,512,448,306,344,301
Phages_ Prophages_ Transposable elements,3270,2948,2173,3696,5381,2950,2646,2254,1829,4670,4848,3594,5354,4045,3644,3464,3299,1676,1599,3164,3014,5116,5028,5088,5033,5068,5018,944,1046,1135,1310,1959,1453,1458,1791,1506,2144,1520,658,1045,888,839,1395,149,116,33,332,133,104,135,97,0,1,90,106,229,58,118,104,235,148,209,134,90,10,154,163,207,136,173,263,182,69,127,187,248,112,12,129,155,64,123,118,6064,5961,1636,1288,774,1281,1418,1521,268,1419,330,1091,941,2194,777,690,354,348,717,437,498
Virulence,36509,29446,20712,36280,53055,27825,25794,23451,17556,54032,53413,37192,54008,39619,35673,21434,19339,6326,6262,19432,18605,28951,28090,22084,21489,27084,25710,10556,11274,4717,6137,10452,6794,9024,7910,5256,8621,7746,6989,12277,7046,6933,15325,1054,798,213,2088,1011,965,1207,801,7,7,708,821,1727,474,999,714,1889,1010,1620,919,719,71,1204,1288,1639,1407,1327,2073,1182,614,1165,1702,1855,903,83,914,999,499,1015,939,72302,70116,11098,9212,4708,9751,11030,12631,1248,7942,3357,7966,6358,17491,4089,4117,4600,4193,6352,6280,6584
Virulence_ Disease and Defense,492,430,289,720,1027,476,468,351,271,881,898,629,1215,890,776,366,309,91,78,273,239,385,348,643,654,805,748,114,107,100,140,185,172,220,129,72,160,323,71,136,98,53,118,19,16,5,32,17,8,22,7,0,0,11,16,23,4,12,9,30,15,20,19,10,0,18,24,22,21,22,46,21,11,11,19,12,9,1,12,16,8,9,14,2613,2502,362,249,129,242,162,77,37,157,88,141,104,240,84,77,47,39,93,91,88
Aceton metabolism,29,70,57,85,230,123,31,73,57,47,59,58,142,220,212,10,10,4,3,24,23,27,30,9,8,7,6,11,10,4,11,17,3,3,19,1,16,3,19,37,12,18,11,3,4,1,1,2,2,4,1,0,0,2,2,6,0,4,0,2,2,6,4,0,0,6,2,0,0,2,3,2,3,5,2,3,0,0,3,1,2,2,0,57,54,29,15,9,20,29,30,2,16,6,46,19,76,17,11,89,70,22,21,22
Motility and Chemotaxis,20873,17614,12322,23902,35409,18107,15688,13455,11030,34844,32628,22892,34293,26060,22598,12035,10855,3712,3597,8551,8058,13232,12735,16485,15926,20381,19570,7311,8221,4410,4867,9271,3759,3123,3847,2018,4779,5223,4719,8575,4370,3500,8528,695,591,191,1641,794,672,964,629,5,8,501,592,1242,366,674,470,1180,631,1102,601,501,56,823,1026,1250,989,930,1583,869,493,833,1101,1214,684,57,624,726,343,718,589,48248,46406,7612,5981,3134,6222,8846,13079,1078,6871,2898,4803,3983,11625,2498,2609,2961,2573,4409,4365,4419
Arabinose Sensor and transport module,384,252,188,375,583,306,201,199,188,424,424,332,531,418,387,139,123,38,37,139,117,208,214,192,194,230,243,129,168,290,221,478,126,145,155,25,132,85,92,176,148,47,95,29,27,6,92,30,29,45,24,1,0,16,26,50,12,22,28,54,22,51,20,23,5,31,30,56,31,31,73,32,22,31,18,23,28,0,19,25,7,11,30,977,967,198,126,80,171,170,109,25,138,60,74,33,165,41,33,55,51,66,56,57
Mitochondrial electron transport system in plants,12772,10338,7081,14490,19431,10413,9618,7929,6206,18799,17503,13489,23060,16929,16091,6428,5970,1982,1961,5971,5714,9288,9085,7265,7164,9002,8759,5638,6344,5999,6043,11443,7692,7267,10608,6961,12430,7168,3664,6208,5587,4384,7469,831,717,174,2031,863,819,991,706,3,8,608,698,1323,409,729,646,1363,828,1291,833,613,50,1063,1182,1346,1043,1060,1747,1022,460,859,1091,1251,694,66,801,886,407,885,806,26961,26234,5690,4233,2166,5010,5525,6231,573,3717,1590,3716,2428,6822,1620,1766,1870,1682,2362,2356,2435
Plastidial (cyanobacterial) electron transport system,65,68,51,94,114,56,53,44,37,90,109,74,101,92,82,40,28,6,7,31,22,38,37,49,37,56,49,23,18,61,72,46,33,11,12,3,45,302,13,15,10,11,21,2,1,0,4,0,1,4,3,0,0,3,3,2,1,0,0,0,1,0,1,2,0,0,1,3,3,5,9,11,2,2,1,2,2,0,0,0,0,1,2,205,187,35,37,21,34,32,46,2,15,4,29,29,83,15,15,26,18,22,22,25
Phages_ Prophages_ Transposable elements_ Plasmids,7182,6166,4158,7362,10425,5848,5471,4492,3782,10698,10421,7466,12653,9212,8097,3415,3179,1101,1085,2851,2745,4392,4366,4116,3974,4697,4576,2901,3444,3342,3461,6375,6373,6436,5724,3584,6302,3357,1955,3336,2858,2545,4073,442,364,82,954,388,393,440,353,3,1,275,287,648,199,366,331,757,444,661,389,308,28,494,537,595,480,515,827,512,231,412,548,685,317,24,342,460,181,424,424,15529,15149,2718,2096,1100,2295,2292,1952,300,1770,745,1597,987,3048,794,793,824,767,940,1011,934
Dormancy and Sporulation,2288,2065,1538,2699,3861,2024,1826,1574,1314,3208,3363,2726,4305,3301,3194,854,779,249,243,806,709,1194,1164,1086,1058,1277,1195,541,669,792,693,1401,765,891,1202,932,1435,995,388,633,502,436,712,75,71,16,213,78,95,96,62,0,0,60,67,103,35,70,72,151,69,127,71,46,7,109,102,128,93,87,162,107,54,67,99,104,74,2,74,83,39,87,78,5660,5541,891,652,396,840,866,1096,122,667,280,529,375,1218,251,278,271,254,366,363,397
Potassium metabolism,24410,22006,15571,30803,43190,22778,18795,17393,14060,38399,39404,30850,42773,31721,29949,10605,9586,3196,2992,8236,7660,12535,12230,13032,12759,16141,15653,8855,8112,4795,5025,9229,4630,5084,6034,4087,7716,7683,4800,7738,4737,4487,7965,890,640,162,1972,815,831,998,719,7,7,574,685,1299,346,669,635,1401,779,1174,727,591,53,1007,1091,1235,1020,981,1614,920,455,846,1223,1476,632,46,724,822,343,793,761,55086,53601,9072,7050,3698,7840,8810,10558,1038,6560,2741,5815,4326,12210,2858,2888,3294,3038,4593,4645,4651
Plant cell walls and outer surfaces,1351,828,538,1188,1536,761,997,670,363,2227,1345,837,2066,1219,957,777,713,239,236,653,618,989,990,893,891,1058,1019,538,604,409,432,719,302,402,509,331,1138,678,465,826,651,461,885,95,82,22,230,103,97,112,79,0,2,66,77,145,35,57,77,156,82,134,80,61,8,115,118,136,102,97,165,130,59,112,152,152,68,9,72,93,58,114,91,3371,3310,415,325,126,371,485,432,53,338,121,296,190,553,133,152,152,127,170,127,141
Cell Division and Cell Cycle,31525,27521,19484,36358,49988,26992,25090,21542,17759,46604,46971,36914,58082,43964,41571,12287,11181,3797,3734,10914,10365,16220,15811,15383,14937,19208,18511,10652,11051,11268,11756,20361,13621,14066,19533,12613,22302,16021,6306,10333,8927,7400,13199,1471,1279,284,3530,1483,1456,1650,1269,8,9,1015,1170,2248,590,1125,1008,2373,1363,2153,1395,994,104,1752,1870,2208,1720,1740,2935,1778,845,1572,1788,2147,1169,104,1343,1437,611,1362,1383,63243,61517,12029,9402,4750,10857,11826,12770,1531,8934,3787,7996,5513,16381,3666,3870,4252,3680,5119,5163,5187
Unclassified,1295,1349,996,1794,2707,1333,1104,1015,923,2174,2110,1769,2798,2054,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,73,11,188,72,66,79,61,0,1,53,76,118,39,67,53,129,71,109,81,56,5,90,79,95,80,70,141,78,37,71,82,107,60,3,59,82,20,70,62,2578,2502,533,417,212,498,479,459,55,371,164,354,244,795,179,198,217,172,313,356,326
Photosynthesis,43,59,27,62,86,44,46,32,29,68,109,75,114,111,85,21,16,5,3,17,18,22,15,72,69,66,73,6,3,269,313,131,61,43,6,7,268,1463,12,3,4,2,24,5,4,3,4,2,2,2,1,0,0,2,6,3,2,2,6,1,3,3,3,3,1,2,2,7,5,3,4,44,3,5,2,2,2,0,0,3,0,7,1,258,231,26,18,14,13,34,29,3,16,3,8,8,20,5,4,4,4,7,7,5
Nucleotide sugars,1949,1804,1291,2347,3143,1766,1524,1295,1161,2836,2838,2521,3718,2994,2930,712,688,255,236,718,708,1031,1020,1038,995,1222,1208,1037,1107,1042,1173,2013,1859,1073,2066,1308,2132,1138,625,1007,902,844,1370,165,135,29,363,171,126,172,109,0,1,106,143,292,77,153,102,254,163,217,171,130,18,206,222,251,217,180,345,217,86,138,205,236,124,16,126,180,79,172,186,3919,3882,968,691,357,883,759,765,83,599,246,544,394,1120,281,271,322,254,405,447,406
General Stress Response and Stationary Phase Response,80,96,49,96,156,98,50,54,59,99,159,149,190,127,121,32,37,9,11,19,36,54,52,58,61,84,83,38,35,26,28,59,41,15,44,29,38,42,25,29,32,23,45,5,5,2,14,8,3,6,5,0,0,5,5,11,2,6,5,7,7,12,11,2,1,13,5,7,9,8,5,8,4,6,5,11,3,1,4,2,1,6,10,295,289,43,47,25,50,87,39,7,59,21,40,34,78,22,18,32,26,38,41,53
Thiamin,14,22,17,20,29,17,10,18,14,27,38,32,26,26,33,3,4,2,1,9,11,5,6,5,6,9,10,0,1,0,0,3,3,130,0,1,1,0,2,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,33,33,3,6,2,1,5,24,0,7,1,3,2,8,0,0,2,1,3,4,3
