,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Ktedonobacteraceae,86916,57453,35673,121896,70354,37104,111384,55553,25795,264686,103952,36750,203901,55209,19963,4392,3941,1248,1288,25990,24630,39812,39445,1337,1348,1741,1650,11549,2331,6093,2607,4433,2386,866,2616,1707,2294,331,991,2465,1053,1403,16199,171,239,101,998,620,845,436,643,6,3,398,347,261,113,191,203,511,200,244,304,189,25,285,257,630,399,635,855,190,105,217,522,337,88,10,358,497,104,225,103,10091,9934,1625,1507,960,1467,778,675,111,1031,326,3462,3112,4989,1870,1601,1110,920,1500,1356,1574
Micromonosporaceae,45496,31894,23344,62220,54447,26407,43256,22730,18881,88991,43177,38054,165315,86167,75049,11019,9604,2487,2351,9714,9038,14162,13707,10969,10679,17352,16342,7561,6472,56986,56175,116752,10138,22867,25937,22340,42836,5133,12645,12418,39453,17250,13450,7075,9384,2227,18632,8907,12699,15611,7933,19,42,6227,8092,9857,3460,8820,4927,11946,6154,9201,5155,5430,520,8122,7397,8815,10231,8310,18600,8623,4916,9655,3903,5700,4675,529,6730,7334,2955,4387,6468,107367,101954,90564,35913,18621,100927,91904,17809,7423,45284,19729,62514,16122,59411,18903,18882,20176,18216,3122,3019,3192
Nocardioidaceae,17679,13377,10196,25348,30835,14993,15953,11168,9613,29387,27263,26117,52442,35795,43586,3160,2976,708,717,3468,3112,4862,4510,10090,9639,12863,12186,3701,4360,29855,35742,65720,24757,18343,135034,25448,162849,20413,4493,4618,22617,8807,6094,10304,9943,1481,41791,11547,8681,11963,8320,42,67,6481,7695,11476,5067,6064,7664,12276,12286,16434,9907,6137,620,14213,12851,7384,7265,5623,16747,11791,4571,8887,2610,6658,6466,403,5227,8255,2771,6834,8403,165383,157282,58432,33597,16593,47498,31437,12500,5633,32393,14354,41338,12857,41445,9238,14386,6247,5922,2121,2392,2456
Bacillaceae,28674,40726,30758,44607,71132,46134,26948,29222,30718,38509,59480,65213,57009,59955,59308,8792,8284,2947,3086,11804,11362,17432,17987,8282,8310,10462,10512,6850,6837,10470,10921,14885,13174,5688,13098,9206,10568,3705,3836,6840,9042,14194,10933,983,631,127,1587,707,1001,606,584,6,5,441,578,883,352,636,878,1488,857,1321,927,559,31,681,800,810,650,672,1197,761,313,626,604,847,503,24,614,718,333,860,1003,125935,124104,5201,3760,2161,4052,3208,3653,654,3598,1644,3007,2474,6781,1519,1456,1385,1270,2585,2430,2455
Gemmatimonadaceae,18556,26525,22520,52260,56672,32473,20138,26173,22589,50081,79897,74445,89228,56805,84584,5369,4752,1616,1498,5421,5130,8394,8152,11370,10783,14775,14174,15101,12763,16617,22993,46103,34288,4391,41831,37190,28694,11163,4390,8136,12487,12503,17066,2572,3286,912,4918,3242,1536,2932,2109,14,15,2591,2793,6106,1363,3749,1536,4813,2241,4194,2885,3506,244,3794,4496,7956,5971,4895,7651,5557,2678,4068,2696,3985,3428,318,2812,3248,1539,3773,2642,59857,57132,42737,42688,21873,31829,18647,7779,3489,22591,9469,30641,25010,59006,15171,15776,10861,9532,38803,39162,39481
Frankiaceae,39448,32841,23069,50821,53024,26199,36125,21719,17708,73244,41311,35479,108580,49863,44069,4249,3768,989,896,6849,6219,8999,8699,6024,5677,7449,7045,6771,5788,6534,4801,7001,5132,16532,14105,18637,32202,4611,3214,3814,5882,4307,7580,1208,959,205,3125,1512,1341,1214,1427,2,13,897,1239,969,440,731,1211,1842,1058,1544,1021,649,67,1131,1235,1372,980,1223,2047,930,403,896,1858,2255,484,59,1333,1123,381,1023,970,54838,52225,12006,5411,2430,14510,14378,14063,899,5983,2671,13702,5995,19633,6101,4428,14434,13190,1458,1480,1390
Pseudomonadaceae,24638,29020,20283,36138,53339,38155,19973,21390,19873,41549,67729,47878,40117,32941,32186,15496,14739,5079,4877,15105,14638,21994,21459,19778,19506,22937,22160,10937,21470,4915,7092,10461,8423,2198,6865,5471,6052,6472,6787,12294,8358,8691,39497,907,774,199,1258,894,488,860,481,0,2,436,530,2396,494,848,460,1505,773,1549,760,685,68,1588,1200,2078,1643,1285,1704,1077,554,1020,1380,1865,1241,77,788,731,516,1157,1041,36025,35400,6318,14489,7455,5075,9248,10501,773,4660,1906,3040,2801,7283,2676,1781,2263,2195,2717,2629,2719
Conexibacteraceae,27188,26498,18275,58538,48358,11218,26713,23829,10893,13629,24836,22170,63894,55803,39682,1092,974,0,0,798,747,1326,1278,1839,1723,2692,2600,2752,2744,16417,12723,25560,9906,86503,84525,76906,95606,3205,1844,2393,4969,2792,1807,2157,1550,248,3950,1594,1699,1411,1502,2,17,1108,1333,1228,689,869,1367,2653,1453,2360,1841,1050,70,1264,1406,1192,971,1050,2114,1432,634,1111,1058,1448,605,61,1129,1227,482,1145,1344,62518,58947,13025,10117,5033,13824,10615,4686,1338,8621,3794,5010,1629,4966,1169,1656,857,843,1374,1450,1484
Micrococcaceae,17776,37158,19352,49285,80411,43691,24349,21019,25147,28647,45224,42186,57082,48847,66131,2733,0,0,0,3110,3122,4779,4874,0,2585,3488,3437,5922,3027,17532,12342,17946,7521,29097,71837,23022,29746,5379,1488,2293,6238,3433,4784,1448,2326,339,5507,1633,1507,2473,1308,0,0,562,1257,1783,505,710,953,1998,1054,1840,1449,1221,153,2185,1976,1818,1550,1034,2264,1746,296,1392,799,1295,845,51,796,933,375,962,1333,60546,58359,6723,3708,1833,7008,6005,5125,599,3526,1556,5011,4392,8105,1898,2127,3306,2975,1180,1132,1053
(Pyrinomonas),6161,16794,12021,25670,41086,15153,8500,12632,12051,22143,42601,32100,116520,81572,90166,1433,1358,345,369,3087,3006,5964,5722,2491,2769,3191,3036,1580,15544,24176,38770,59998,224543,357,19796,7757,33943,4844,3257,5583,10753,11603,4508,901,867,122,1116,836,451,833,490,8,5,875,892,2525,502,1982,461,1645,976,2246,837,1118,40,964,1044,1284,2016,1973,1956,1626,769,1198,1006,1565,1288,122,802,643,484,1141,958,23245,22364,8517,3839,2072,7250,4577,1263,1319,8718,3580,2005,1785,3925,996,1072,823,773,898,890,956
Verrucomicrobia subdivision 3,25923,19063,14105,36410,30457,17146,16657,13655,10257,45214,43639,24968,46884,37507,30922,23329,21133,7166,6756,20757,19441,34526,34257,17806,17100,21669,21218,15958,21318,2205,4985,5435,9218,0,6090,2012,9920,2045,10598,16538,9427,14103,20222,1951,1070,375,2222,2065,1293,1936,950,11,2,1155,1560,3454,1007,2353,1059,3748,2139,3783,1942,970,73,1618,2239,3387,2188,2882,3165,1836,1274,1435,3293,4491,1618,200,2171,1874,1085,2265,1738,67269,65076,8453,6749,3644,5151,4470,1973,992,6655,2884,7028,5043,21120,4948,4948,4032,3690,4135,3943,4092
Rhizobiaceae,34699,32193,20997,34262,51499,26587,21791,23568,16912,42882,42991,30366,36213,28007,24767,33707,31783,10487,10090,26861,25809,39580,38830,23441,23551,29916,29717,10688,16276,12219,16038,29293,6479,4497,7863,4350,7206,5786,12950,21408,16280,15374,24598,2011,1768,345,3064,1678,1504,1933,1065,19,6,881,1177,3208,839,1289,1019,3265,1846,2686,1726,1321,102,1861,2031,2385,1686,1869,2996,2064,727,1742,2773,3045,1672,72,1743,1502,929,1667,1591,91892,90297,12771,13222,6699,10104,10521,6685,1009,6720,2762,4394,4205,10375,2845,2719,2088,2446,2590,2579,2541
(Reyranella),12533,8997,5029,14439,22524,8776,10758,10685,2912,39594,19431,6450,28227,17685,7766,48631,43054,14164,13344,35079,32911,54632,52748,46650,45133,59547,56576,4118,12580,588,4639,2344,1400,0,0,0,0,0,14259,20147,15561,14025,17938,1529,1022,355,3222,1738,1588,1975,1226,8,4,1625,1151,3336,876,2053,912,2588,1247,2178,1179,941,114,2246,2083,3054,2315,1606,3393,1495,1178,1574,2413,3466,1558,118,1784,1796,691,1880,1535,102778,99495,10864,8360,4185,8762,6789,1651,705,4720,1835,5819,3186,10363,3873,3965,1159,1077,2478,2485,2367
Flavobacteriaceae,14944,12673,9550,24938,28600,15213,14694,10544,9283,21421,26086,17895,43482,31248,26031,12497,11960,5121,5030,7466,7291,12450,12561,46289,45379,56148,55619,11929,18366,10519,13854,24264,56826,530302,38235,21146,37164,395950,7494,8428,20844,9092,7377,714,620,132,1078,719,314,976,384,3,0,358,447,1828,341,653,264,998,720,1379,608,713,49,1270,1555,2033,1370,1781,1588,1089,553,1126,796,1579,1065,77,662,780,581,1012,904,83224,82164,16494,20192,11301,8106,3656,0,959,6335,2872,2796,2556,7259,2267,2575,1274,1262,1875,2052,2135
Comamonadaceae,19433,34313,22658,48876,70491,39070,20415,19938,27170,32942,75121,59749,65448,58739,64167,25195,23559,7136,6674,17392,16787,25270,24890,64665,62900,78903,76415,31385,16299,12896,17374,34749,24598,0,30189,15269,32628,57523,12224,12396,30927,17583,17211,3818,3218,865,5743,2895,1947,6051,1935,19,20,1621,2696,9295,1563,3906,1478,5711,3165,6137,2791,3905,285,5291,5667,9977,7048,6114,8323,6760,3243,6322,2820,7938,5421,420,2870,3264,2036,4428,3274,189263,184055,13446,12659,6367,7046,7325,8754,1154,7498,3005,7271,9350,16054,4650,4286,3832,3283,6887,6908,7092
Pseudonocardiaceae,65781,42678,29994,78209,72531,38805,51483,29583,24818,93643,60069,47242,190725,115754,95857,6596,6239,1770,1832,10018,9479,14448,13790,6545,6192,8550,8223,8933,6298,39789,30521,60548,14353,39429,43849,82740,51347,6117,4661,7804,16332,9828,14596,4822,6277,1380,10407,4200,5125,6167,5825,43,20,3398,4068,4332,1940,3122,3255,6489,4217,5347,4257,2838,264,4598,3627,4332,4028,4671,8428,5333,2454,4340,3301,4420,1921,202,3577,4015,1238,3133,5222,75652,71741,47748,32721,16989,72116,80870,23199,5623,35248,15000,34935,11550,36855,10639,10022,24548,21396,2891,3069,3085
Undefined!,64207,70240,48776,68053,122847,67838,46125,49542,46607,78114,101151,90854,99857,83991,73043,26577,24031,6243,5976,18981,18785,35368,34375,28402,26913,30606,29706,8816,9434,10869,17330,30847,10209,0,10936,2891,10470,3569,10369,15119,9956,10709,17425,3321,3260,781,4945,2836,2471,3494,2074,5,14,1740,2728,4981,1362,2406,1859,5170,2964,5907,2179,2180,140,2781,3195,4409,2850,3112,4978,3376,1497,3040,2610,3484,2692,167,1780,1740,1295,2692,2305,91750,88212,14411,10609,5556,10834,6755,809,948,6499,2698,3603,2959,6677,2401,2019,608,451,1334,1727,1392
Microbacteriaceae,17841,15673,12567,26041,30153,16505,16257,12202,11486,29014,23089,23548,46795,35102,30483,7003,6474,0,0,4415,4145,6367,6147,15128,14147,15339,14447,7950,7071,12517,11859,22380,7684,19343,16229,14528,27962,5294,4508,4005,15761,5699,7397,4291,3394,563,12641,4044,2624,5282,3523,4,12,1479,2509,8990,1845,2858,2078,5246,4274,5934,3487,2665,454,6458,5610,4800,3435,3931,8453,4293,1331,4609,1229,2640,4058,195,1851,3236,1171,2665,4332,81649,78636,29445,15033,7092,20970,12317,10501,3012,18502,7787,5717,3076,13477,2760,3975,4172,3714,1550,1628,1589
Paenibacillaceae,21956,32256,25349,35900,60360,39729,20649,23423,25052,33903,52194,49919,48252,49295,49981,8155,7568,2478,2445,11046,10437,15558,16035,8375,8157,10505,9482,5887,6792,8930,8996,13622,9670,3531,10387,6682,8328,2912,3750,6122,5098,6532,8849,655,421,101,1559,564,506,553,503,0,0,483,464,981,270,538,497,1128,587,946,850,396,13,708,986,747,624,626,1141,618,291,534,628,831,382,25,449,736,218,682,629,25875,25315,4286,3545,1755,3278,3192,4148,495,3507,1567,2869,2486,6745,1379,1600,1645,1411,2680,2718,2825
Isosphaeraceae,24420,17546,12212,14967,31985,16038,15864,13994,9362,26714,22088,19394,25363,19725,13611,55633,49307,12671,11768,16101,14945,29694,28723,38753,37125,40473,38189,9483,10788,8066,8500,14384,9231,783,13255,4744,7786,3060,8914,18194,5341,4965,13244,840,910,311,2424,1047,1312,1231,1093,7,13,758,1092,1105,422,772,971,2002,1191,1606,875,562,60,765,992,1104,787,920,1532,889,489,853,1145,1253,605,48,849,905,295,805,663,47577,45372,5490,5179,2613,4245,2357,771,461,2738,1155,1716,1220,2912,840,913,398,341,562,611,525
Nocardiaceae,36408,32122,23018,49132,59122,28716,33880,23263,18914,61086,54772,40188,97337,56725,72341,5239,5139,1535,1681,7702,7599,11605,11411,5321,5434,6872,6458,6502,4553,11679,9285,16590,8080,22438,24620,29890,40148,5074,3494,5270,8108,6666,10704,2256,1904,395,4691,1756,2078,1812,1850,6,9,1197,1481,1887,852,1075,1537,3367,1875,2654,2002,1138,140,1938,2068,2046,1634,1735,2881,1800,669,1614,2026,2618,951,88,1638,1875,633,1539,1714,90274,87396,15190,6984,3486,16445,16325,9844,1168,6961,3101,11890,5093,16776,3976,4210,10384,9200,1640,1603,1635
Methylobacteriaceae,23302,23093,15215,19198,32033,20379,17091,18591,11950,27951,34714,25605,32581,24907,19306,20807,19144,5766,6063,12909,12376,20346,19920,13860,13301,17653,17181,8011,8391,80393,54210,153877,9603,3350,10801,4340,11506,2543,6638,11215,10731,10467,17051,2475,2683,235,3657,946,987,1240,1689,4,9,928,994,2500,769,1109,1311,3627,2051,3286,1993,1881,101,1720,1851,1351,1069,1670,2561,2766,646,1936,1777,2366,1362,112,1087,1316,733,1478,1860,55336,54335,6746,5483,2839,6628,5653,5224,726,4061,1752,2996,2107,6064,1617,2127,1131,1051,1480,1585,1718
Oxalobacteraceae,23448,45518,26894,50403,134928,81057,28996,30640,60745,55635,111867,186346,68795,100668,112872,9376,8748,2894,2888,9606,9445,12780,12186,23896,22493,23401,22715,25314,14559,12641,9203,22896,21574,0,11195,4409,11097,34046,5524,5974,9612,9087,8249,1335,1771,463,5285,1721,1884,2346,2964,7,6,1409,1681,2220,744,1200,1300,2025,1556,2068,1146,1510,98,1603,1849,2943,2504,2031,2772,2085,848,1963,1478,2784,1266,113,1066,1459,2252,1713,1097,45982,44881,15576,5609,2942,5358,4094,5716,1917,11448,5093,4629,3837,11470,2051,4640,2050,1780,4148,4255,4274
Labilitrichaceae,15737,15106,11822,24535,29544,12486,9799,9455,9156,25589,34479,17082,26974,21004,13998,12122,10646,3011,2675,10533,9699,13668,12817,21406,20225,26582,25342,5653,4944,1476,2401,3525,3256,0,1347,344,3847,1965,4030,4687,2282,4039,14003,835,774,240,1285,852,625,1347,503,0,1,551,887,2082,461,1126,483,1353,920,1480,581,669,84,1123,1246,2337,1688,1773,1763,1210,842,1223,1550,1498,883,94,655,663,549,1188,1023,42296,40258,9685,8152,4105,6245,3159,699,672,4053,1713,2667,1419,5735,1110,1213,355,279,897,777,972
Polyangiaceae,12956,11901,8600,19217,23834,11095,9852,8178,8236,20644,31331,16578,36441,23289,21923,12818,11024,3165,3131,10279,9476,12650,12120,21449,20775,30003,28177,4525,5262,4685,10546,13972,4578,0,2750,1912,3199,1592,6558,6793,5290,8224,12772,2803,2493,765,3152,2471,1384,2755,1288,9,12,1248,1881,6528,1292,2872,1079,4284,2493,4022,1999,2088,121,2999,3138,4341,3330,4016,4483,3435,1762,3273,1969,3798,2970,265,1437,1786,1548,2616,3249,80254,76411,25387,14490,7647,24807,14468,2519,1922,12738,5376,8414,4680,17035,3869,4287,1410,1161,2952,3027,2637
Xanthomonadaceae,16962,23157,16199,32921,43161,27980,15585,16586,17123,34074,47719,32851,38918,31184,30658,16611,15190,5292,5184,12571,11883,18399,17807,30385,29698,37120,36063,8553,13867,3718,7270,15187,29727,3650,31070,32882,38946,71819,7139,13178,21565,11495,21818,2685,2632,569,9717,3251,1996,2932,2175,6,20,1447,1598,5866,1460,2263,1124,3174,2170,3759,4554,3070,361,5574,5167,6871,5737,3545,7124,3632,1849,4105,1545,3406,3485,241,1550,3051,1145,3300,2540,94416,92268,40265,33011,16843,22066,35016,19056,2903,18875,7801,7038,3210,14576,3035,3409,1692,1351,2059,1868,1957
