,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Acetoin_ butanediol metabolism,2144,1917,1357,2554,3611,2053,1742,1440,1256,3419,3132,2504,4297,2976,2726,925,831,247,241,988,917,1452,1427,719,673,917,863,567,476,403,444,676,329,98,412,231,352,147,443,780,478,520,773,125,97,9,191,90,112,93,85,0,0,67,83,122,40,59,81,184,98,136,99,58,4,84,104,103,78,94,145,97,42,70,137,170,46,4,95,95,37,84,85,3943,3832,739,556,293,737,1093,1253,113,683,280,831,574,1545,320,356,602,518,502,450,511
Purine conversions,12584,11027,7683,14445,20410,11271,10057,8643,7104,19800,18659,14741,23042,17469,16574,5115,4724,1522,1407,4301,4070,6475,6387,6191,6057,7895,7600,4186,4786,4721,4849,8780,5948,6226,7742,4949,9161,6162,2771,4465,3909,3049,5368,728,581,151,1692,691,697,781,586,6,3,482,565,1014,270,538,492,1100,630,1047,591,440,45,798,837,926,766,705,1310,720,361,699,757,985,533,39,523,645,297,654,626,26001,25484,5213,3969,1993,4573,4691,4353,534,3336,1482,3255,2185,6245,1493,1537,1677,1461,2013,1985,1993
Iron acquisition in Vibrio,17207,14859,10232,17852,27660,14496,12273,11571,7997,30410,27461,16787,26012,16731,13169,10223,8815,3421,3356,7895,7368,11919,11508,15527,15184,18948,17975,2493,3404,1999,2920,5735,4712,9018,3856,2155,4652,7228,1402,3172,2629,1079,3951,207,226,62,504,241,192,301,177,1,2,155,170,440,123,204,96,344,152,326,200,222,23,373,386,456,350,343,643,292,185,342,333,339,272,19,192,260,90,216,185,27708,26759,5442,3848,2010,3093,4310,5742,517,3347,1454,1914,1537,4109,1110,1218,1041,913,1066,1068,1096
Siderophore Enterobactin,16,7,5,14,20,18,10,12,7,29,18,15,20,19,16,5,9,5,2,5,4,13,6,8,3,11,10,5,3,4,1,7,1,21,4,0,1,2,2,3,3,4,52,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,2,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,34,27,9,3,4,3,4,4,0,3,0,11,4,8,7,9,1,1,1,0,0
acinetobacter siderophore assembly,233,258,226,362,646,223,230,168,203,412,429,324,520,425,386,155,117,46,53,88,89,148,141,314,345,371,344,42,72,84,117,254,116,94,76,49,99,76,71,127,106,78,134,20,21,3,41,19,26,26,18,0,0,4,13,33,11,11,13,31,16,23,20,10,1,22,23,21,17,10,40,20,11,16,13,29,16,2,5,14,7,22,21,1420,1360,305,214,105,223,161,112,15,133,49,83,43,121,48,42,23,13,23,32,32
p-cymene degradation,109,67,34,76,144,69,41,55,25,148,137,73,100,79,59,45,34,12,12,32,27,39,36,57,52,55,51,15,14,4,1,7,4,0,3,0,1,0,13,21,13,10,24,1,0,0,1,0,1,1,2,0,0,1,0,4,0,0,1,2,2,0,1,2,0,1,0,2,2,0,3,0,0,1,7,4,1,0,1,1,2,1,1,143,127,7,10,5,10,6,8,1,6,1,10,3,23,3,9,5,2,6,2,5
Cinnamic Acid Degradation,1418,1012,767,1226,1826,962,910,831,569,2116,1711,1144,1923,1100,912,619,525,174,159,392,379,639,612,617,601,674,621,211,215,105,150,228,127,17,132,21,195,100,189,319,218,163,405,39,34,12,104,30,43,63,32,0,1,30,28,51,11,37,27,82,38,66,41,24,1,36,41,40,39,41,84,40,23,51,64,62,26,3,29,40,15,34,29,3163,3042,237,216,105,235,217,226,43,164,78,233,137,389,115,115,130,133,82,84,80
Siderophore pyochelin,16,13,8,13,11,4,7,11,12,11,13,11,18,15,15,8,5,0,2,4,1,8,4,3,3,5,1,5,1,3,2,3,0,0,0,2,1,2,3,3,5,2,7,1,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,19,16,6,5,0,11,12,4,0,3,0,0,2,5,2,2,1,1,1,2,3
Biphenyl Degradation,1137,870,545,1075,1285,620,816,560,386,1749,1265,848,1935,1175,949,482,434,163,124,417,394,621,604,511,517,641,613,234,312,263,231,418,224,260,310,119,320,292,232,362,279,215,287,45,36,14,107,53,56,61,29,0,0,29,42,49,23,28,43,86,41,65,42,38,1,53,48,68,41,44,112,60,12,37,71,70,27,2,53,39,17,43,52,2514,2438,325,232,113,237,225,193,22,152,53,243,151,419,89,100,86,100,84,77,90
Omega-amidase,0,0,0,4,1,8,2,1,2,1,3,3,6,5,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,20,0,2,1,0,0,2,1,0,1,0,2,0,2
EC 4.1.3.- Oxo-acid-lyases,19,24,8,30,37,16,11,15,8,26,38,32,32,25,23,14,9,0,2,6,10,17,21,9,11,11,8,1,3,3,3,7,1,2,1,2,1,0,0,5,4,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,40,37,3,4,2,3,3,7,1,3,1,3,6,12,4,1,2,0,6,3,6
At1g24340,456,259,166,405,386,183,278,159,107,579,366,181,514,262,222,228,183,64,63,211,205,298,272,171,150,193,180,34,49,53,35,86,9,46,25,15,11,12,49,84,52,19,60,11,8,1,15,5,7,14,5,0,0,3,7,4,4,5,4,14,4,18,8,2,2,4,13,8,9,9,16,9,2,7,15,13,7,1,6,7,3,5,6,657,661,80,43,28,44,75,65,9,55,25,42,19,78,14,14,20,17,10,11,10
Fatty acid degradation regulons,104,85,65,104,177,137,55,60,66,138,183,151,200,169,139,36,34,10,11,48,42,45,53,71,62,70,76,46,29,29,39,63,23,17,41,148,35,38,29,44,50,76,47,13,6,0,17,11,3,10,4,0,0,6,6,16,5,6,5,13,8,13,8,10,0,10,13,11,10,14,14,13,6,8,7,21,4,0,10,6,1,5,10,327,341,53,42,16,43,38,25,11,37,15,35,32,76,10,13,11,7,28,22,17
L-fucose utilization temp,275,252,143,350,492,291,188,163,144,366,410,340,448,345,283,138,127,45,38,108,107,163,157,120,107,199,184,68,123,102,111,147,24,76,50,47,26,25,56,111,57,47,87,10,11,1,26,11,15,9,5,0,0,6,6,21,2,9,8,25,4,10,6,6,0,8,12,7,13,16,33,9,0,6,12,16,6,1,22,11,3,21,12,484,478,90,67,30,61,54,72,7,44,23,35,24,79,15,31,10,19,15,16,17
D-gluconate and ketogluconates metabolism,4432,3993,2890,5762,8026,3872,3348,3530,2313,8065,7714,4995,7449,4983,4304,2478,2275,754,739,1805,1706,2844,2831,3428,3373,4356,4161,1522,1787,641,986,1401,565,734,779,538,975,564,1159,1834,1379,1163,3291,177,142,42,322,183,134,187,113,0,2,117,146,283,85,170,122,366,175,328,182,149,7,204,203,298,217,251,378,195,120,179,311,368,157,16,175,186,80,168,167,10477,10045,1222,934,451,981,923,671,129,711,317,742,515,1449,396,400,223,205,278,267,291
rRNA modification bacteria,1958,1940,1221,2445,3548,1704,1727,1496,1250,3021,3086,2492,3872,3089,2760,803,713,266,227,686,656,1083,1010,1136,1043,1270,1211,559,529,394,442,779,644,730,746,532,989,842,291,423,417,286,541,94,56,9,172,85,82,91,62,0,0,49,50,107,30,59,54,97,57,89,61,59,5,88,102,96,73,87,140,88,45,83,75,115,48,5,53,66,33,65,66,4301,4124,798,620,345,689,780,867,87,648,257,540,358,1271,258,269,300,256,386,406,389
RNA processing orphans,228,216,156,284,411,197,217,182,146,378,378,282,466,344,285,99,86,36,22,78,77,146,139,111,94,123,126,34,39,15,14,34,4,2,20,4,14,19,22,25,22,11,32,2,7,0,12,5,4,5,4,0,0,4,2,5,1,3,0,6,3,8,3,0,0,6,3,3,6,3,13,8,0,5,4,10,6,0,2,8,1,1,7,496,465,96,75,38,80,72,64,13,67,32,69,63,166,33,38,49,47,60,56,56
Chorismate biosynthesis in plants,4749,4381,3129,5889,8118,4231,3844,3494,2772,7273,7544,6034,9072,6849,6523,1958,1789,536,504,1611,1472,2343,2281,2368,2311,2915,2840,1619,1528,1434,1458,2731,1580,1803,2347,1731,3177,2117,1041,1658,1331,1096,1990,266,241,57,763,294,242,331,240,4,0,185,200,377,129,234,185,446,275,392,270,189,29,317,380,391,297,273,532,311,151,293,309,390,220,18,259,257,119,254,276,10758,10390,2021,1637,864,1925,2331,2658,274,1669,733,1310,897,2794,572,580,644,605,822,871,879
Glycine and Serine Utilization,8199,7516,5233,9744,13265,7356,6536,5697,4791,12080,12166,10004,16176,12174,11679,3147,2960,990,966,2805,2707,4339,4270,4196,4103,5172,4995,3589,3623,3654,3690,6830,5476,4879,6725,4060,7194,4855,2041,3313,3232,2732,4794,572,470,85,1205,503,485,610,464,7,4,417,462,819,256,440,378,924,508,843,509,392,48,671,673,858,675,635,1097,609,306,562,616,819,406,44,485,562,216,554,483,16999,16613,3187,2610,1322,2776,3367,3826,425,2610,1173,2282,1536,4086,953,1074,1141,1017,1262,1327,1320
