,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
(R)-citramalate synthase (EC 2.3.1.182),694,668,521,941,1240,710,563,543,387,1104,1112,951,1419,1010,902,236,228,59,61,247,244,355,341,326,324,411,395,364,272,455,410,737,203,370,541,461,756,296,207,319,254,288,384,68,52,9,134,53,59,63,44,1,0,46,50,85,29,40,34,96,38,89,58,21,7,65,59,62,49,49,93,75,28,55,71,73,37,1,53,44,16,36,58,1666,1633,441,318,169,409,333,322,41,261,117,255,180,471,122,108,151,142,135,126,170
(S)-2_3-di-O-geranylgeranylglyceryl phosphate synthase,5,5,2,7,13,5,1,5,3,3,12,8,6,7,4,3,2,0,0,0,1,0,1,1,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,2,1,3,21,68,9,60,23,6,4,9,1,3,3,2,5,5,0
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15),46,49,30,57,93,48,35,46,30,71,66,77,102,100,82,22,12,8,6,15,18,27,23,16,10,26,18,20,6,12,21,34,24,4,24,9,19,5,7,10,14,13,12,3,3,0,4,2,5,2,1,0,0,1,2,7,3,2,1,3,4,2,2,0,0,2,2,4,4,4,9,2,0,7,4,0,5,1,1,0,0,5,3,136,125,28,18,11,31,23,22,5,23,15,30,18,93,11,13,13,16,23,28,27
(S)-3-O-geranylgeranylglyceryl phosphate synthase,2,10,7,1,12,11,3,6,12,1,25,22,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,5,6,4,3,1,30,86,8,48,27,3,7,8,1,1,2,7,3,3,3
[Fe] hydrogenase_ HymA subunit_ putative,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,7,4,0,1,1,0,0,1,1,9,6,6
[Fe] hydrogenase_ HymB subunit_ putative,4,2,0,6,7,4,1,5,3,4,2,9,5,0,3,1,2,0,1,1,1,4,3,1,1,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,1,0,1,2,1,1,16,5,1,2,5,3,1,6,4,16,11,10
[Ni/Fe] hydrogenase_ group 1_ large subunit,10,3,0,4,9,2,9,2,3,8,5,0,0,0,0,14,12,6,7,28,23,48,54,13,9,15,13,39,6,0,0,0,0,0,1,0,0,1,5,10,8,4,40,1,2,3,1,1,1,3,0,0,0,0,2,0,1,2,1,1,1,0,0,2,0,3,3,4,5,1,4,0,0,5,4,0,1,0,1,2,1,1,1,73,70,8,11,2,9,6,6,4,13,5,14,11,41,7,4,18,12,32,32,31
[Ni/Fe] hydrogenase_ group 1_ small subunit,25,12,11,15,18,11,24,7,2,49,18,6,41,13,7,15,13,8,3,16,19,17,26,19,13,13,15,32,19,35,17,44,17,93,90,136,46,8,4,19,13,16,42,4,4,1,6,3,4,0,1,0,0,2,6,2,1,3,0,6,6,1,7,2,0,4,4,6,3,8,3,4,3,4,5,6,0,2,2,2,0,2,4,64,57,16,12,6,15,7,13,4,11,2,15,9,35,9,5,6,6,10,6,7
[NiFe] hydrogenase metallocenter assembly protein HybG,1,0,0,0,2,0,1,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[NiFe] hydrogenase metallocenter assembly protein HypC,101,49,41,89,92,33,78,24,15,133,81,24,150,72,39,63,53,8,13,42,43,69,59,38,35,43,39,32,27,29,14,30,86,65,141,105,180,38,9,31,20,9,26,4,4,0,6,3,1,4,1,1,0,1,4,2,2,1,2,13,2,2,2,2,1,3,4,5,7,3,2,4,1,3,1,10,3,0,2,2,1,4,2,214,210,44,41,20,49,64,67,11,28,13,53,36,92,18,21,34,30,52,45,36
[NiFe] hydrogenase metallocenter assembly protein HypD,350,171,128,321,342,89,250,141,74,534,240,105,614,261,171,166,174,46,43,199,205,264,267,165,156,205,205,293,230,265,221,250,906,968,1333,1159,1783,428,114,193,150,137,287,39,31,3,55,27,40,41,33,1,0,22,34,56,11,21,30,69,35,53,26,28,6,30,28,55,36,30,55,34,16,29,43,54,13,2,23,31,13,29,28,706,689,190,156,80,204,292,326,19,147,59,220,127,414,92,91,147,134,196,185,142
[NiFe] hydrogenase metallocenter assembly protein HypE,303,158,105,269,344,116,267,115,84,506,240,103,497,253,177,179,168,38,37,162,146,244,243,130,129,145,137,186,109,83,89,100,466,410,625,502,826,230,60,117,63,87,151,10,16,4,41,24,29,27,23,0,0,7,25,30,11,14,18,46,17,32,15,13,1,12,22,34,18,17,25,15,11,19,23,42,8,2,17,15,4,18,12,690,653,156,129,56,155,243,297,21,143,67,182,110,404,71,91,121,122,133,163,175
[NiFe] hydrogenase metallocenter assembly protein HypF,596,247,166,554,608,195,440,209,83,844,463,185,886,383,325,315,292,89,83,309,291,452,450,246,241,312,301,242,146,153,148,150,623,444,778,620,891,229,105,172,98,111,194,29,16,3,48,29,35,26,23,0,0,13,23,19,6,24,22,46,21,31,19,23,0,26,23,33,29,29,40,21,16,26,26,38,16,0,19,32,21,22,13,1371,1297,304,220,118,327,397,572,38,307,101,344,243,728,122,141,227,210,291,291,315
[NiFe] hydrogenase nickel incorporation protein HybF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
[NiFe] hydrogenase nickel incorporation protein HypA,61,28,23,77,67,26,45,27,3,104,47,14,123,55,27,27,36,6,8,39,37,49,52,33,30,45,31,17,3,2,6,5,14,1,19,7,16,2,3,6,2,3,6,0,0,0,3,0,2,1,1,0,0,1,0,0,1,0,2,1,3,2,0,0,0,2,1,0,0,1,2,1,1,2,2,1,0,0,1,1,0,2,0,191,185,26,29,16,26,53,73,3,27,8,43,27,63,18,11,40,29,29,30,36
[NiFe] hydrogenase nickel incorporation-associated protein HypB,165,67,48,124,144,45,120,54,26,217,142,44,237,88,61,90,72,35,36,92,89,130,130,76,72,122,120,109,71,59,55,99,92,264,236,197,165,29,31,59,36,27,79,14,15,2,20,10,15,12,8,0,1,10,5,7,5,10,7,17,11,24,12,5,1,10,13,11,17,10,16,5,7,9,18,19,9,0,17,8,2,10,5,425,407,54,87,33,86,93,150,9,74,33,70,52,188,41,42,53,57,69,74,80
[Protein-PII] uridylyltransferase (EC 2.7.7.59),1215,894,624,1067,1563,854,867,720,492,1708,1691,1120,1879,1305,1225,648,608,204,191,591,565,812,782,697,678,892,863,402,334,162,152,406,105,59,191,89,274,251,231,398,216,194,463,34,42,6,114,43,40,58,41,0,1,18,36,62,17,23,25,61,27,55,35,21,2,61,51,62,44,50,86,44,19,34,64,61,27,4,25,42,17,33,45,2325,2231,360,301,128,363,532,655,37,284,113,259,215,559,146,129,205,177,217,189,218
1_2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54),40,37,31,50,62,35,18,29,19,44,91,77,83,54,62,11,9,7,9,10,8,25,31,30,33,34,36,9,11,19,27,22,19,3,7,8,15,68,12,20,14,18,41,2,4,1,4,5,2,1,2,0,0,0,2,5,2,6,0,5,5,7,5,0,1,2,3,1,7,2,8,1,4,7,4,1,4,0,2,5,1,7,0,92,100,11,10,5,9,12,40,1,10,5,5,4,16,7,3,1,1,3,5,7
1_2-dihydroxycyclohexa-3_5-diene-1-carboxylate dehydrogenase (EC 1.3.1.25),30,18,11,32,48,23,14,16,15,27,37,27,38,25,13,19,11,4,4,8,6,4,7,11,13,16,15,4,5,13,5,9,0,0,0,0,1,2,11,17,4,7,12,2,2,0,7,5,4,2,0,0,0,1,3,2,1,0,3,2,0,1,1,1,0,2,2,2,3,1,5,6,1,0,6,1,1,0,0,2,2,4,2,194,182,3,7,1,2,8,2,0,3,0,4,1,4,1,1,1,0,1,1,2
1_2-dihydroxynaphthalene dioxygenase,7,15,4,8,11,6,3,7,0,8,6,7,8,2,8,3,1,0,0,12,7,8,7,0,1,2,4,2,1,1,0,1,0,0,0,0,0,0,0,3,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,6,1,0,1,0,0,0,0,0,0,1,1,7,0,2,1,3,1,1,1
1_3-propanediol dehydrogenase (EC 1.1.1.202),0,1,0,2,2,0,0,1,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1_4-alpha-glucan (glycogen) branching enzyme_ GH-13-type (EC 2.4.1.18),1852,1520,1144,1965,2847,1602,1401,1266,957,2615,2544,1811,3119,2286,2025,842,824,259,248,760,715,1304,1268,860,832,1092,1060,988,964,935,1067,1721,1037,1488,1631,1166,2328,921,613,970,903,795,1387,166,126,33,330,153,140,157,111,0,3,111,120,211,55,145,89,228,134,196,128,97,5,155,167,207,170,166,283,148,85,152,202,220,107,8,121,143,53,112,111,3542,3449,740,535,262,688,809,737,81,521,215,491,385,1006,219,229,265,235,349,330,312
1_4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28) in phylloquinone biosynthesis,3,4,4,3,4,1,3,0,2,3,7,3,12,3,1,3,2,0,1,2,1,2,4,5,5,2,5,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,13,14,1,2,1,3,1,0,1,2,0,4,1,2,0,2,0,1,3,0,0
10 kDa culture filtrate antigen CFP-10 (EsxB),0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16S rRNA processing protein RimM,234,212,133,280,412,223,208,157,129,403,375,271,512,351,299,83,75,36,29,88,66,101,102,135,122,181,182,50,32,29,28,69,40,99,30,18,59,116,22,45,31,14,24,4,4,0,16,5,12,11,6,0,0,10,8,7,3,4,6,5,3,6,3,4,1,5,7,4,4,4,13,5,2,7,1,8,4,0,4,2,2,5,3,568,534,123,76,50,96,111,106,9,60,41,82,64,160,39,39,51,42,50,42,47
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),1202,992,714,1442,2026,1001,936,800,671,1685,1809,1336,2393,1794,1719,524,495,141,137,461,411,668,650,763,729,910,880,239,242,344,296,741,254,608,478,340,644,544,157,233,270,169,251,41,52,14,170,64,62,71,57,0,0,32,44,92,16,41,28,70,48,73,62,39,2,76,64,73,61,57,91,56,35,55,46,51,56,4,35,46,19,49,41,3049,2945,657,461,253,579,586,396,70,375,158,424,226,688,144,144,196,168,191,190,200
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267),952,873,569,1123,1419,801,787,680,558,1255,1357,1209,1769,1411,1322,358,328,107,113,354,338,476,479,483,471,531,539,367,421,370,415,786,589,429,867,509,995,460,223,361,334,280,479,54,39,6,143,52,48,69,45,0,0,37,47,85,19,46,45,108,41,78,58,50,1,69,70,65,73,75,121,59,24,61,66,90,35,2,42,62,29,46,58,1834,1771,345,264,133,335,321,355,42,234,126,245,158,490,105,124,131,113,139,155,145
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7),1410,1231,895,1787,2423,1480,1153,1033,754,1925,2202,1837,2716,2209,2044,603,588,158,149,462,447,707,693,827,824,1032,1031,784,849,794,805,1576,1153,1264,1708,1064,2066,1263,516,767,728,586,813,111,113,33,289,134,112,154,104,1,2,83,103,188,50,92,97,219,105,193,113,91,9,153,156,163,147,153,268,146,61,134,166,170,90,6,105,138,55,127,98,3139,3095,619,425,224,606,744,730,71,450,202,381,281,780,197,190,257,231,302,285,293
1H-3-hydroxy-4-oxoquinaldine 2_4-dioxygenase,1,1,7,5,3,1,0,0,3,3,0,7,0,0,4,1,0,0,0,4,3,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2,0,0,3,0,0,0,0,0,1,5,7,0,0,0,4,0,1,0
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1),1237,1107,727,1357,1921,1082,935,825,729,1684,1810,1540,2316,1866,1811,447,437,135,147,413,406,663,640,618,595,809,775,656,672,635,692,1332,915,922,1462,950,1655,709,393,661,631,537,773,101,81,17,212,104,90,114,95,0,0,50,72,122,52,95,52,147,86,135,81,63,3,109,101,141,100,96,175,121,51,112,117,156,75,7,72,107,47,90,91,2335,2280,441,322,155,391,487,476,42,313,138,293,210,626,147,142,149,127,193,175,160
1-phosphofructokinase (EC 2.7.1.56),131,113,78,184,246,76,101,114,60,117,128,129,313,245,234,19,14,7,2,7,13,29,25,21,27,23,19,3,5,42,33,54,16,124,133,77,129,13,10,5,18,5,7,3,2,1,18,7,6,6,6,0,0,3,1,5,0,2,4,7,1,6,10,3,1,10,4,3,6,4,5,5,3,6,4,1,3,1,2,3,3,0,2,378,336,72,38,26,73,64,29,11,49,18,53,35,90,19,12,23,28,12,13,16
1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22),198,142,83,140,190,109,116,130,55,268,187,127,193,173,112,70,70,28,26,77,69,93,93,112,119,168,165,60,64,30,48,79,61,32,42,18,31,164,48,100,57,40,129,12,11,4,16,13,10,9,12,1,0,7,5,10,7,8,2,17,10,17,11,13,0,14,15,12,15,14,17,11,2,7,10,6,7,0,8,7,7,12,6,295,287,72,57,29,57,76,58,7,42,16,34,12,43,15,15,8,10,6,7,6
2_3_4_5-tetrahydropyridine-2_6-dicarboxylate N-acetyltransferase (EC 2.3.1.89),416,454,321,542,665,331,309,307,265,636,713,557,871,664,641,163,139,36,39,116,104,178,182,168,150,245,225,113,153,141,159,269,509,147,261,93,218,161,77,131,117,138,210,12,17,4,27,19,6,20,11,1,0,11,12,36,10,19,10,30,14,32,20,13,2,25,23,20,30,24,26,19,14,15,23,37,15,0,12,15,9,19,15,776,749,138,124,45,91,73,54,19,69,36,86,69,174,43,45,51,42,66,87,70
2_3_4_5-tetrahydropyridine-2_6-dicarboxylate N-succinyltransferase (EC 2.3.1.117),514,415,313,602,887,428,413,281,271,827,745,560,990,689,672,182,158,67,61,124,122,211,211,310,309,395,384,275,282,297,282,546,412,365,483,271,645,463,168,278,264,168,384,43,43,17,135,53,56,58,36,0,0,49,44,98,23,38,48,95,54,82,48,32,3,60,72,73,69,61,107,59,41,51,67,74,48,4,58,54,17,55,53,1204,1171,261,148,92,245,266,285,32,144,81,140,102,277,69,61,75,63,71,61,68
2_3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1),1036,857,568,1138,1371,770,853,637,459,1387,1370,1085,1850,1496,1311,381,369,128,125,358,360,580,554,441,439,578,580,376,443,335,329,572,640,622,639,377,670,589,225,345,361,289,511,49,34,6,88,39,54,46,20,0,0,36,41,78,25,33,37,64,44,62,39,30,3,55,55,69,54,44,79,54,31,39,63,75,32,4,36,29,21,37,54,1562,1534,253,239,124,205,174,281,22,216,81,229,191,490,81,95,111,98,140,153,149
2_3-bisphosphoglycerate-independent phosphoglycerate mutase_ archaeal type (EC 5.4.2.1),71,122,61,150,176,146,55,60,86,107,180,185,183,184,228,30,26,9,8,24,22,38,35,39,39,35,32,28,31,80,65,128,22,39,52,30,36,15,23,44,23,42,55,5,5,2,11,13,5,4,4,0,0,1,3,11,2,7,5,17,7,8,9,3,0,4,9,5,3,4,12,3,1,3,9,11,4,2,2,8,3,6,6,159,145,73,99,58,91,81,171,22,113,48,33,43,84,21,14,27,11,31,35,43
2_3-butanediol dehydrogenase_ R-alcohol forming_ (R)- and (S)-acetoin-specific (EC 1.1.1.4),216,181,157,233,303,172,149,139,117,421,254,210,399,309,252,117,96,34,31,103,99,162,139,113,94,119,98,38,39,25,14,40,16,3,44,11,43,5,48,48,29,23,52,11,6,2,17,4,14,17,11,0,0,2,8,8,2,4,3,9,7,11,7,3,1,4,8,6,10,3,6,5,6,11,15,10,3,1,11,7,2,3,5,538,490,36,36,17,22,36,59,6,29,11,44,32,83,24,23,22,19,31,14,28
